ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
IRN,1.170901555,0.9055960777,1.1441762717,1.0863857247,0.9471067207,0.9848815031,0.9361340749,0.9716444437,0.9430862102,1.0133145381,1.0833992391,1.0280341322,0.7906864635,1.0444878872,1.0156601816,0.9403373021
IRQ,1.0236314434,0.6859562545,0.8186068545,0.2641986041,1.4425445206,1.098064817,1.4762727749,1.7740713332,0.1262387404,0.8187548865,0.9770322859,0.7488723772,0.9738988419,0.9316385399,0.9785561954,1.0823998251
ISL,1.0369227794,1.0905997884,0.9430187819,1.0511083372,1.1289809719,1.1630235504,0.9959766407,0.9750223439,0.8247437991,0.8856474095,1.00596362,1.0904756321,1.0292254937,1.0812608855,1.0565978101,1.0108452646
ISR,1.0075631965,0.8939495175,1.1175962889,0.9200707141,1.2284605667,1.1594185746,0.9166082644,1.102849769,0.8940184013,1.137279954,0.9697128587,1.0938192952,0.8603018619,1.2080888586,1.1259306705,0.9644208619
ITA,1.0505688807,1.0096380045,0.9948545472,0.9350068543,1.0186646835,1.0264665799,1.0579121088,1.0640720502,1.021858695,1.0942674263,0.9855929145,1.0694279818,1.0721969633,1.1043504465,1.1085965257,0.9067791565
JAM,0.9511312804,0.9667314831,1.111115849,0.9887388371,1.02578243,1.0503227234,0.8652177075,1.3518297439,0.8687127926,1.3863464255,1.0947608485,0.9051237098,1.089806068,0.9006889308,0.9601852608,0.9791204698
JOR,0.9532996543,1.0398455798,1.0020460302,1.012728917,0.9598891886,0.9661702682,1.1557067997,1.073521752,1.2091388675,1.0572977941,1.1119705801,1.0050942048,0.7546393639,1.060773047,1.0036689146,1.0384949098
JPN,1.0212564243,1.0347243933,0.9434506201,1.0226402826,1.0457388231,1.0215975543,1.0604216092,0.9787625756,1.1052430017,1.006395115,0.9953899228,0.9171212896,0.9750928148,1.0161300471,1.0770058548,1.0691677123
KAZ,0.7610067152,1.381900401,0.9128132904,0.9583981563,1.0907249637,1.0417988316,0.9688604436,1.1171495424,1.0733967174,1.0664610286,0.8957631207,1.2277073485,1.0685825914,1.0539406477,0.998382873,1.0943855643
KEN,0.9635433686,1.2807408728,1.3107763308,1.3677643265,0.8381895837,0.8645878357,0.885396745,1.0815586357,0.9209977039,0.6475870942,1.1977465784,0.9049459297,1.2345139828,0.9885057096,1.0617522001,1.0889564645
KGZ,1.1246580197,1.4345563701,0.4535609628,0.9400070412,0.9744131465,1.1611383968,1.0924543258,1.0282763888,0.4378857396,1.2879032604,1.1101564387,0.7086325111,0.3548425369,1.2763875603,1.1303337976,1.022190472
